,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance,new_old
1,Babolat,Babolat Pure Storm Team,98,27,11,3pts HL,326,21,0,64,16 Mains/20 Crosses,Head Light,3,Classic
3,Babolat,Babolat Pure Storm Team MP,103,27,10.7,1pts HH,329,22.5,1,67,16 Mains/20 Crosses,Head Heavy,1,Classic
4,Babolat,Babolat Pure Control Team Plus Midplus,100,27.5,11.6,8pts HL,338,21.5,0,64,16 Mains/20 Crosses,Head Light,8,Classic
7,Babolat,Babolat Pure Storm Tour Plus,98,27.5,11.8,9pts HL,336,21,0,62,16 Mains/20 Crosses,Head Light,9,Classic
8,Babolat,Babolat Drive Z Oversize,110,27.5,10.1,5pts HH,327,27,2,64,16 Mains/20 Crosses,Head Heavy,5,Classic
9,Babolat,Babolat Pure Storm Tour,98,27,11.8,6pts HL,333,21,0,63,16 Mains/20 Crosses,Head Light,6,Classic
10,Babolat,Babolat Pure Drive Plus Cortex,100,27.5,11.2,5pts HL,338,23,0,70,16 Mains/19 Crosses,Head Light,5,Classic
11,Babolat,Babolat Pure Drive 110,110,27.5,10.8,0pts EB,329,27,1,67,16 Mains/20 Crosses,Head Heavy,0,Classic
12,Babolat,Babolat  Pure Storm,98,27,10.9,3pts HL,312,21,0,62,16 Mains/20 Crosses,Head Light,3,Classic
15,Babolat,Babolat Pure Drive Oversize,110,27.5,10.3,2pts HL,325,27,1,69,16 Mains/20 Crosses,Head Light,2,Classic
18,Babolat,Babolat Pure Drive Roddick Plus,100,27.5,11.7,5pts HL,340,26,0,71,16 Mains/19 Crosses,Head Light,5,Classic
20,Babolat,Babolat Drive Z 110,110,27.5,9.8,6pts HH,321,27,2,66,16 Mains/20 Crosses,Head Heavy,6,Classic
25,Babolat,Babolat Pure Drive Roddick,100,27,11.7,5pts HL,330,26,0,71,16 Mains/19 Crosses,Head Light,5,Classic
26,Babolat,Babolat Pure Power Zylon 360,102,27,10.5,2pts HL,306,22.5,0,68,16 Mains/20 Crosses,Head Light,2,Classic
27,Babolat,Babolat Drive Z 118,118,27.5,9.9,5pts HH,319,28,2,68,16 Mains/20 Crosses,Head Heavy,5,Classic
28,Babolat,Babolat Pure Drive 107 GT,107,27.2,10.3,3pts HL,313,25,0,69,16 Mains/19 Crosses,Head Light,3,Classic
29,Babolat,Babolat Pure Drive Roddick Junior (4-1/8),100,26.5,9.9,1pts HH,298,26,1,62,16 Mains/19 Crosses,Head Heavy,1,Classic
30,Babolat,Babolat VS NCT Control,104,27.2,9.6,4pts HH,298,22,1,68,16 Mains/18 Crosses,Head Heavy,4,Classic
34,Babolat,Babolat Pure Drive Roddick Junior (4 Even),100,26.5,9.8,0pts EB,290,27,1,64,16 Mains/19 Crosses,Head Heavy,0,Classic
35,Babolat,Babolat Pure Junior,100,26,9.8,4pts HL,252,23,0,59,16 Mains/19 Crosses,Head Light,4,Classic
43,Babolat,Babolat Drive Z-Lite,100,27,9.8,7pts HH,325,26,1,67,16 Mains/19 Crosses,Head Heavy,7,Classic
44,Babolat,Babolat Drive Z-Lite Cortex,100,27,9.8,6pts HH,312,26,1,67,16 Mains/19 Crosses,Head Heavy,6,Classic
45,Babolat,Babolat Drive Z-MAX,108,27.5,9.6,6pts HH,326,26,2,67,16 Mains/19 Crosses,Head Heavy,6,Classic
46,Babolat,Babolat Drive Z-Tour,100,27,10.7,0pts EB,324,26,1,72,16 Mains/19 Crosses,Head Heavy,0,Classic
48,Babolat,Babolat NCT Tour,100,27,10.3,1pts HL,300,23.5,0,71,16 Mains/18 Crosses,Head Light,1,Classic
49,Babolat,Babolat Pure Control 2001,97,27,12.3,6pts HL,336,21.5,0,72,16 Mains/20 Crosses,Head Light,6,Classic
50,Babolat,Babolat Pure Control 2003,98,27,11.8,7pts HL,327,21.5,0,70,16 Mains/20 Crosses,Head Light,7,Classic
51,Babolat,Babolat Pure Control Plus 2001,97,27.5,12.3,8pts HL,350,21.5,0,71,16 Mains/20 Crosses,Head Light,8,Classic
52,Babolat,Babolat Pure Control Plus 2003,98,27.5,11.9,10pts HL,332,21.5,0,68,16 Mains/20 Crosses,Head Light,1,Classic
53,Babolat,Babolat Pure Control Team Midplus 2002,100,27,11.6,5pts HL,318,21.5,0,65,16 Mains/20 Crosses,Head Light,5,Classic
54,Babolat,Babolat Pure Control Zylon 360,97,27,11,3pts HL,319,21.5,0,67,16 Mains/20 Crosses,Head Light,3,Classic
55,Babolat,Babolat Pure Control Zylon 360 Plus,97,27.5,11,6pts HL,317,21.5,0,67,16 Mains/20 Crosses,Head Light,6,Classic
56,Babolat,Babolat Pure Drive Plus,100,27.5,11.2,5pts HL,338,25,0,70,16 Mains/19 Crosses,Head Light,5,Classic
60,Babolat,Babolat Pure Power Zylon 360 Plus,102,27.5,10.6,3pts HL,310,22.5,0,68,16 Mains/20 Crosses,Head Light,3,Classic
61,Babolat,Babolat VS Control,98,27,11.7,6pts HL,324,21.5,0,68,16 Mains/20 Crosses,Head Light,6,Classic
63,Babolat,Babolat VS Nanotube Drive,112,27.5,9.5,14pts HH,351,28,2,72,16 Mains/19 Crosses,Head Heavy,1,Classic
64,Babolat,Babolat VS Nanotube Power,116,27.5,9.3,13pts HH,332,28,2,73,16 Mains/18 Crosses,Head Heavy,1,Classic
68,Babolat,Babolat Pure Storm Ltd GT ,95,27,11.9,9pts HL,313,19,0,59,18 Mains/20 Crosses,Head Light,9,Classic
69,Babolat,Babolat XS 105,105,27,9.9,3pts HH,324,24,2,64,16 Mains/20 Crosses,Head Heavy,3,Classic
70,Babolat,Babolat XS 102,102,27,10,4pts HH,322,24,1,66,16 Mains/20 Crosses,Head Heavy,4,Classic
71,Babolat,Babolat Pure Storm Ltd.,95,27,11.8,8pts HL,305,19,0,62,18 Mains/20 Crosses,Head Light,8,Classic
72,Babolat,Babolat Pure Drive Roddick GT,100,27,11.8,5pts HL,334,26,0,72,16 Mains/19 Crosses,Head Light,5,Classic
73,Babolat,Babolat Pure Drive GT,100,27,11.2,4pts HL,327,26,0,70,16 Mains/19 Crosses,Head Light,4,Classic
76,Babolat,Babolat Aero Strike,100,27,10.2,2pts HH,314,25,1,61,16 Mains/20 Crosses,Head Heavy,2,Classic
77,Babolat,Babolat Aero Storm Cortex,98,27,11.1,4pts HL,325,21,0,65,16 Mains/20 Crosses,Head Light,4,Classic
78,Babolat,Babolat Pure Storm Tour+ GT,98,27.5,12.1,8pts HL,349,21,0,61,16 Mains/20 Crosses,Head Light,8,Classic
