Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern
Babolat,Babolat  Aero 112,112,27.50,10.20,6pts HH,346,0.0,High,64,16 Mains/19 Crosses
Babolat,Babolat Pure Storm Team,98,27.00,11.00,3pts HL,326,21.0,Low-Medium,64,16 Mains/20 Crosses
Babolat,Babolat Aero Blast,112,27.50,10.20,6pts HH,340,0.0,High,65,16 Mains/19 Crosses
Babolat,Babolat Pure Storm Team MP,103,27.00,10.70,1pts HH,329,22.5,Medium,67,16 Mains/20 Crosses
Babolat,Babolat Pure Control Team Plus Midplus,100,27.50,11.60,8pts HL,338,21.5,Low-Medium,64,16 Mains/20 Crosses
Babolat,Babolat AeroPro Drive Plus,100,27.50,11.30,6pts HL,335,0.0,Low-Medium,67,16 Mains/19 Crosses
Babolat,Babolat AeroPro Drive Plus Cortex,100,27.50,11.30,6pts HL,335,0.0,Low-Medium,67,16 Mains/19 Crosses
Babolat,Babolat Pure Storm Tour Plus,98,27.50,11.80,9pts HL,336,21.0,Low,62,16 Mains/20 Crosses
Babolat,Babolat Drive Z Oversize,110,27.50,10.10,5pts HH,327,27.0,Medium-High,64,16 Mains/20 Crosses
Babolat,Babolat Pure Storm Tour,98,27.00,11.80,6pts HL,333,21.0,Low,63,16 Mains/20 Crosses
Babolat,Babolat Pure Drive Plus Cortex,100,27.50,11.20,5pts HL,338,23.0,Low-Medium,70,16 Mains/19 Crosses
Babolat,Babolat Pure Drive 110,110,27.50,10.80,0pts EB,329,27.0,Medium,67,16 Mains/20 Crosses
Babolat,Babolat  Pure Storm,98,27.00,10.90,3pts HL,312,21.0,Low,62,16 Mains/20 Crosses
Babolat,Babolat AeroPro Drive,100,27.00,11.30,5pts HL,324,0.0,Low-Medium,67,16 Mains/19 Crosses
Babolat,Babolat AeroPro Drive Cortex,100,27.00,11.30,5pts HL,324,0.0,Low-Medium,67,16 Mains/19 Crosses
Babolat,Babolat Pure Drive Oversize,110,27.50,10.30,2pts HL,325,27.0,Medium,69,16 Mains/20 Crosses
Babolat,Babolat Pure Drive,100,27.00,11.20,4pts HL,325,0.0,Low-Medium,70,16 Mains/19 Crosses
Babolat,Babolat Pure Drive Standard Cortex,100,27.00,11.20,5pts HL,325,0.0,Low-Medium,70,16 Mains/19 Crosses
Babolat,Babolat Pure Drive Roddick Plus,100,27.50,11.70,5pts HL,340,26.0,Low-Medium,71,16 Mains/19 Crosses
Babolat,Babolat Aero Storm,98,27.00,12.10,6pts HL,340,0.0,Low,66,16 Mains/20 Crosses
Babolat,Babolat Drive Z 110,110,27.50,9.80,6pts HH,321,27.0,High,66,16 Mains/20 Crosses
Babolat,Babolat AeroPro Control Plus,98,27.50,12.00,10pts HL,345,0.0,Low-Medium,70,16 Mains/19 Crosses
Babolat,Babolat Soft Drive,106,27.00,10.00,4pts HH,315,0.0,Low-Medium,68,16 Mains/20 Crosses
Babolat,Babolat Pure Drive 107,107,27.20,11.00,4pts HL,322,0.0,Low-Medium,70,16 Mains/19 Crosses
Babolat,Babolat AeroPro Control,98,27.00,12.00,6pts HL,340,0.0,Low-Medium,70,16 Mains/19 Crosses
